1024;64;16;0.040445;0.045612
2048;64;32;0.078519;0.088812
4096;64;64;0.138751;0.159501
8192;64;128;0.286200;0.349936
16384;64;256;0.548871;0.683807
32768;64;512;1.147743;1.310878
65536;64;1024;2.345011;2.894314
131072;64;2048;3.923148;4.789769
262144;64;4096;5.169315;6.131021
524288;64;8192;7.476057;8.648046
1048576;64;16384;10.469564;11.573175
2097152;64;32768;10.867277;12.196075
4194304;64;65536;11.485848;12.760397
8388608;64;131072;11.340695;13.469357
